Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
31,When a Man Loves a Woman,Percy Sledge,1966,joy,11.42857143,5.714285714,14.28571429,14.28571429,20,14.28571429,5.714285714,11.42857143,2.857142857,0
32,Time Won't Let Me,The Outsiders,1966,trust,0,23.07692308,0,3.846153846,3.846153846,7.692307692,23.07692308,34.61538462,3.846153846,0
33,Bus Stop,The Hollies,1966,trust,5.882352941,17.64705882,0,8.823529412,23.52941176,2.941176471,11.76470588,26.47058824,2.941176471,0
34,Paint It Black,The Rolling Stones,1966,sadness,5.263157895,7.894736842,0,5.263157895,18.42105263,36.84210526,10.52631579,13.15789474,2.631578947,0
35,Summer In The City,The Lovin' Spoonful,1966,sadness,0,5.882352941,11.76470588,0,23.52941176,29.41176471,0,23.52941176,5.882352941,0
36,I'm So Lonesome I Could Cry,B. J. Thomas,1966,na,0,0,0,0,0,0,0,0,0,100
37,My Love,Petula Clark,1966,joy,0,14.63414634,0,9.756097561,60.97560976,0,0,12.19512195,2.43902439,0
38,Daydream,The Lovin' Spoonful,1966,anticipation,6.060606061,24.24242424,12.12121212,3.03030303,18.18181818,9.090909091,12.12121212,12.12121212,3.03030303,0
39,Ain't Too Proud to Beg,The Temptations,1966,joy,0,12.76595745,1.063829787,0,28.72340426,24.46808511,19.14893617,12.76595745,1.063829787,0
40,Wild Thing,The Troggs,1966,joy,0,16,0,0,24,16,24,16,4,0
41,Elusive Butterfly,Bob Lind,1966,fear,0,12.5,0,25,18.75,12.5,25,0,6.25,0
42,I Am a Rock,Simon,1966,trust,7.407407407,3.703703704,3.703703704,18.51851852,18.51851852,18.51851852,3.703703704,22.22222222,3.703703704,0
43,Dirty Water,The Standells,1966,joy,3.571428571,3.571428571,35.71428571,3.571428571,42.85714286,3.571428571,0,3.571428571,3.571428571,0
44,Hooray for Hazel,Tommy Roe,1966,sadness,11.11111111,13.88888889,11.11111111,11.11111111,16.66666667,22.22222222,8.333333333,2.777777778,2.777777778,0
45,Crying Time,Ray Charles,1966,anticipation,0,38.46153846,0,2.564102564,23.07692308,12.82051282,5.128205128,15.38461538,2.564102564,0
46,Sweet Pea,Tommy Roe,1966,joy,2.777777778,19.44444444,2.777777778,2.777777778,33.33333333,2.777777778,8.333333333,25,2.777777778,0
47,Secret Agent Man,Johnny Rivers,1966,anticipation,3.571428571,28.57142857,3.571428571,14.28571429,7.142857143,7.142857143,7.142857143,25,3.571428571,0
48,Did You Ever Have to Make Up Your Mind?,The Lovin' Spoonful,1966,joy,6.818181818,13.63636364,9.090909091,4.545454545,18.18181818,9.090909091,18.18181818,18.18181818,2.272727273,0
49,We Can Work It Out,The Beatles,1966,anticipation,14.28571429,35.71428571,0,3.571428571,14.28571429,7.142857143,10.71428571,10.71428571,3.571428571,0
50,Homeward Bound,Simon,1966,joy,7.692307692,15.38461538,0,7.692307692,30.76923077,15.38461538,3.846153846,15.38461538,3.846153846,0
51,Uptight (Everything's Alright),Stevie Wonder,1966,joy,5.882352941,8.823529412,2.941176471,2.941176471,35.29411765,5.882352941,11.76470588,23.52941176,2.941176471,0
52,Bang Bang (My Baby Shot Me Down),Cher,1966,anger,21.51898734,2.53164557,13.29113924,18.35443038,4.430379747,19.62025316,15.82278481,3.797468354,0.632911392,0
53,Sloop John B,The Beach Boys,1966,fear,10,0,0,30,0,30,10,15,5,0
54,19th Nervous Breakdown,The Rolling Stones,1966,anticipation,9.523809524,20.63492063,9.523809524,20.63492063,12.6984127,12.6984127,1.587301587,11.11111111,1.587301587,0
55,Wipe Out,The Surfaris,1966,neutral,0,0,0,0,0,0,0,0,100,0
56,Psychotic Reaction,Count Five,1966,anger,20,0,13.33333333,20,20,20,0,0,6.666666667,0
57,Paperback Writer,The Beatles,1966,disgust,0,0,28.57142857,14.28571429,0,0,28.57142857,14.28571429,14.28571429,0
58,Beauty Is Only Skin Deep,The Temptations,1966,joy,2.941176471,23.52941176,0,0,38.23529412,0,2.941176471,29.41176471,2.941176471,0
59,No Matter What Shape (Your Stomach's In),The T-Bones,1966,anticipation,12.5,17.5,10,12.5,13.75,8.75,8.75,15,1.25,0
60,Barefootin',Robert Parker,1966,anticipation,0,25,0,12.5,25,0,0,25,12.5,0
61,Just Like Me,Paul Revere,1966,joy,0,9.090909091,9.090909091,0,27.27272727,13.63636364,18.18181818,18.18181818,4.545454545,0
62,Love Makes the World Go Round,Deon Jackson,1966,joy,0,16.66666667,7.142857143,2.380952381,42.85714286,4.761904762,4.761904762,19.04761905,2.380952381,0
63,The Pied Piper,Crispian St. Peters,1966,trust,0,0,0,8.333333333,16.66666667,8.333333333,0,58.33333333,8.333333333,0
64,Somewhere My Love,Ray Conniff Singers,1966,joy,0,19.04761905,0,0,42.85714286,4.761904762,14.28571429,14.28571429,4.761904762,0
65,Almost Persuaded,David Houston,1966,joy,0,12.5,0,0,31.25,18.75,12.5,18.75,6.25,0
66,If I Were a Carpenter,Bobby Darin,1966,joy,0,19.23076923,0,19.23076923,23.07692308,7.692307692,11.53846154,15.38461538,3.846153846,0
67,Don't Mess with Bill,The Marvelettes,1966,anticipation,0,42.85714286,35.71428571,0,0,7.142857143,0,7.142857143,7.142857143,0
68,Cherry Cherry,Neil Diamond,1966,joy,5.555555556,22.22222222,0,5.555555556,33.33333333,5.555555556,16.66666667,5.555555556,5.555555556,0
69,Message to Michael,Dionne Warwick,1966,anticipation,0,36.36363636,0,0,27.27272727,9.090909091,0,18.18181818,9.090909091,0
70,Love Is a Hurtin' Thing,Lou Rawls,1966,joy,0,17.24137931,3.448275862,10.34482759,27.5862069,13.79310345,13.79310345,10.34482759,3.448275862,0
71,Gloria,The Shadows of Knight,1966,surprise,20.68965517,13.79310345,0,0,17.24137931,0,27.5862069,17.24137931,3.448275862,0
72,My World Is Empty Without You,The Supremes,1966,fear,11.11111111,5.555555556,0,27.77777778,22.22222222,16.66666667,0,11.11111111,5.555555556,0
73,Barbara Ann,The Beach Boys,1966,anticipation,0,18.18181818,0,9.090909091,18.18181818,9.090909091,18.18181818,18.18181818,9.090909091,0
74,Rainy Day Women #12 & 35,Bob Dylan,1966,anger,62.5,6.25,0,6.25,6.25,3.125,9.375,3.125,3.125,0
75,Guantanamera,The Sandpipers,1966,trust,12.5,18.75,6.25,6.25,18.75,6.25,0,25,6.25,0
76,I'm Your Puppet,James,1966,joy,5.405405405,13.51351351,8.108108108,5.405405405,24.32432432,10.81081081,16.21621622,13.51351351,2.702702703,0
77,Land of 1000 Dances,Wilson Pickett,1966,anticipation,6.666666667,33.33333333,0,6.666666667,13.33333333,0,13.33333333,20,6.666666667,0
78,Oh How Happy,The Shades of Blue,1966,joy,11.42857143,19.04761905,6.666666667,6.666666667,22.85714286,6.666666667,9.523809524,16.19047619,0.952380952,0
79,Woman,Peter,1966,anger,16.66666667,7.142857143,14.28571429,16.66666667,14.28571429,14.28571429,7.142857143,7.142857143,2.380952381,0
80,You Baby,The Turtles,1966,joy,0,6.25,0,0,75,6.25,3.125,6.25,3.125,0
81,Sweet Talkin' Guy,The Chiffons,1966,joy,0,21.875,0,0,31.25,3.125,15.625,25,3.125,0
82,Five O'Clock World,The Vogues,1966,anticipation,15.78947368,31.57894737,0,10.52631579,15.78947368,0,5.263157895,15.78947368,5.263157895,0
83,Black Is Black,Los Bravos,1966,sadness,8.823529412,11.76470588,8.823529412,8.823529412,8.823529412,38.23529412,8.823529412,2.941176471,2.941176471,0
84,Nowhere Man,The Beatles,1966,anticipation,0,25,0,25,0,25,0,16.66666667,8.333333333,0
85,Dandy,Herman's Hermits,1966,anticipation,0,36.36363636,0,9.090909091,18.18181818,9.090909091,9.090909091,9.090909091,9.090909091,0
86,Baby Scratch My Back,Slim Harpo,1966,joy,5.263157895,15.78947368,0,5.263157895,36.84210526,0,15.78947368,15.78947368,5.263157895,0
87,She's Just My Style,Gary Lewis,1966,surprise,10,10,0,0,0,0,70,0,10,0
88,The More I See You,Chris Montez,1966,anticipation,11.76470588,29.41176471,5.882352941,8.823529412,14.70588235,17.64705882,5.882352941,2.941176471,2.941176471,0
89,I Fought the Law,Bobby Fuller Four,1966,trust,4.347826087,8.695652174,0,0,15.2173913,0,10.86956522,58.69565217,2.173913043,0
90,Yellow Submarine,The Beatles,1966,trust,0,6.666666667,0,6.666666667,26.66666667,6.666666667,6.666666667,40,6.666666667,0
91,Hungry,Paul Revere,1966,anticipation,1.351351351,27.02702703,2.702702703,1.351351351,27.02702703,0,16.21621622,22.97297297,1.351351351,0
92,Zorba the Greek,Herb Alpert,1966,na,0,0,0,0,0,0,0,0,0,100
93,Shapes of Things,The Yardbirds,1966,anticipation,16.66666667,19.44444444,11.11111111,8.333333333,11.11111111,13.88888889,5.555555556,11.11111111,2.777777778,0
94,Along Comes Mary,The Association,1966,fear,14.47368421,10.52631579,6.578947368,18.42105263,5.263157895,17.10526316,15.78947368,10.52631579,1.315789474,0
95,634-5789 (Soulsville U.S.A.),Wilson Pickett,1966,joy,11.76470588,5.882352941,11.76470588,11.76470588,23.52941176,17.64705882,5.882352941,5.882352941,5.882352941,0
96,Devil with a Blue Dress On/Good Golly Miss Molly,Mitch Ryder,1966,sadness,3.571428571,7.142857143,1.785714286,0,10.71428571,62.5,1.785714286,10.71428571,1.785714286,0
97,Wouldn't It Be Nice,The Beach Boys,1966,joy,0,19.35483871,0,6.451612903,38.70967742,6.451612903,9.677419355,16.12903226,3.225806452,0
